intPIPCategoryID,MCNo,AdditionCount,RecipeColorCategory,vcColourNo,RFT
3,N-002A,0,Light,TNB19-2197AE,1
3,N-008E,0,Light,TNB23-1625B,1
3,N-008L,0,Dark,TNB22-2727A,1
5,N-008L,0,Dark,TNB23-0242AP,1
2,N-008H,0,Light,TNB22-2619A,1
5,N-008L,0,Dark,TNB20-1742F,1
3,N-008G,0,Dark,TNB23-2138B,1
1,N-008E,0,Medium,TNB22-2541H,1
3,N-16B,0,Dark,TNB23-2076D,1
3,N-006A,0,Dark,TNB19-3930BG,1
5,N-002A,0,Dark,TNB22-1319A,1
1,N-006A,0,Light,TNB23-2415B,1
3,N-008H,1,Light,TNB23-1821A,0
3,N-002B,0,Dark,TNB19-2502Y,1
3,N-002A,0,Dark,TNB23-1902C,1
3,N-002B,0,Medium,TNB23-2392B,1
3,N-006A,0,Dark,TNB22-1612B,1
3,N-002B,0,Dark,TNB23-2807B,1
3,N-008G,0,Dark,TNB23-0477A,1
1,N-002A,0,Light,TNB22-2541H,1
1,N-008K,0,Dark,TNB17-3178B,1
3,N-008K,0,Dark,TNB17-3178B,1
3,N-008K,0,Dark,TNB17-3178B,1
3,N-008K,0,Dark,TNB17-3178B,1
3,N-008K,0,Dark,TNB17-3178B,1
1,N-002A,5,Light,TNB23-2492C,0
3,N-002A,0,Light,TNB23-0903AP,1
1,N-008H,0,Light,TNB23-1821A,1
3,N-002A,0,Light,TNB23-2263A,1
3,N-002A,0,Light,TNB23-2263A,1
1,N-006A,0,Light,TNB23-1959B,1
3,N-002B,0,Dark,TNB23-2834C,1
1,N-008L,4,Light,TNB19-2197AL,0
1,N-002B,0,Light,TNB23-1339B,1
1,N-008E,0,Dark,TNB22-0102A,1
1,N-002B,0,Light,TNB19-3423BA,1
1,N-008G,0,Dark,TNB20-0600AFT,1
1,N-008L,2,Light,TNB22-0926I,0
3,N-006A,0,Medium,TNB21-0128BN,1
1,N-008K,0,Dark,TNB21-2234B,1
2,N-008L,0,Dark,TNB23-2028F,1
1,N-006A,1,Dark,TNB22-0103A,0
3,N-002A,0,Dark,TNB23-3209Z,1
4,N-006A,3,Light,TNB19-3456V,0
3,N-008G,0,Dark,N11585C,1
3,N-006A,1,Light,TNB23-0112B,0
3,N-006A,1,Light,TNB23-0112B,0
3,N-002B,3,Dark,TNB19-0163T,0
3,N-008A,0,Dark,TNB19-2101BL,1
4,N-002B,0,Light,TNB18-3639B,1
3,N-002A,0,Dark,TNB22-2159C,1
4,N-008K,0,Dark,TNB22-0241G,1
4,N-008K,0,Dark,TNB22-0241G,1
3,N-008D,3,Dark,TNB23-0446V,0
3,N-002B,1,Light,TNB21-1241L,0
1,N-008D,1,Light,TNB23-2786E,0
2,N-008K,0,Dark,TNB17-3479E,1
3,N-008C,4,Dark,TNB22-1987F,0
3,N-002B,1,Dark,TNB19-0294BK,0
3,N-008A,0,Dark,TNB23-3209Z,1
3,N-008A,1,Dark,TNB23-3209Z,0
1,N-002A,5,Dark,TNB23-3212C,0
3,N-006A,0,Light,TNB23-2680A,1
3,N-008C,1,Dark,TNB23-2450J,0
1,N-008H,1,Light,TNB19-1922AY,0
1,N-008H,0,Light,TNB23-1959B,1
3,N-008E,0,Light,TNB22-0875F,1
5,N-008L,1,Dark,TNB20-1742F,0
5,N-008A,2,Dark,TNB20-1742F,0
5,N-008A,0,Dark,TNB20-1742F,1
1,N-002B,1,Dark,TNB18-2574L,0
3,N-002A,4,Dark,TNB23-2597P,0
2,N-008C,1,Dark,TNB23-0198A,0
3,N-008D,3,Light,TNC21-1806AG,0
3,N-002B,3,Dark,TNB22-1088C,0
3,N-002A,2,Dark,TNB19-4014AI,0
3,N-008L,1,Dark,TNB19-2805A,0
3,N-008L,0,Dark,TNB19-2805A,1
1,N-008G,2,Dark,T06000,0
1,N-002B,4,Dark,TNB23-3063H,0
1,N-002B,2,Dark,TNB23-3063H,0
1,N-008E,0,Light,TNB23-2787F,1
5,N-008E,3,Light,TNB23-2787F,0
5,N-008L,0,Dark,TNB20-1742F,1
1,N-008F,1,Dark,TNB23-1787D,0
1,N-008F,2,Dark,TNB23-1787D,0
1,N-008D,0,Dark,TNB23-3063C,1
1,N-008D,2,Dark,TNB23-3063C,0
2,N-006A,0,Medium,TNB23-2032A,1
2,N-006A,0,Medium,TNB23-2032A,1
1,N-008G,0,Dark,TNB19-0241AL,1
1,N-002B,0,Medium,TNB18-3251D,1
3,N-006A,1,Light,TNB22-1924A,0
3,N-002A,2,Dark,TNB23-0534G,0
1,N-008D,1,Light,TNB23-2968G,0
3,N-002B,3,Light,TNB23-0422I,0
3,N-008B,0,Dark,TNB21-1146A,1
3,N-008G,0,Dark,TNB23-0612C,1
3,N-008K,0,Dark,TNB17-3178B,1
3,N-008K,0,Dark,TNB17-3178B,1
1,N-008B,0,Dark,TNB23-0651CM,1
6,N-008A,0,Dark,TNB20-1742F,1
1,N-002B,3,Light,TNB23-1327D,0
3,N-008C,0,Dark,TNB22-1925E,1
3,N-008C,4,Dark,TNB22-1925E,0
3,N-008A,2,Dark,TNB23-0215A,0
3,N-008G,1,Dark,TNB18-2841A,0
3,N-008G,0,Dark,TNB18-2841A,1
5,N-002B,1,Dark,TNB23-2878C,0
5,N-002B,2,Dark,TNB23-2878C,0
3,N-002A,3,Dark,TNB23-3184C,0
1,N-008F,0,Dark,TNB23-1787D,1
1,N-008F,0,Dark,TNB23-1787D,1
1,N-16B,1,Dark,TNB23-0098C,0
1,N-16A,1,Dark,TNB23-0099B,0
1,N-008E,3,Light,TNB23-1359A,0
1,N-006A,1,Dark,N7603D,0
1,N-008H,0,Dark,N6480NL,1
1,N-008G,0,Dark,TNB23-0098C,1
1,N-008B,3,Light,TNB23-2957B,0
1,N-008D,0,Light,TNB23-3141I,1
1,N-008D,5,Light,TNB23-3141I,0
3,N-002A,0,Dark,TNB22-1987F,1
1,N-002A,1,Dark,TNB22-1987F,0
3,N-008G,0,Dark,N3566A,1
1,N-008F,0,Dark,TNB23-1787D,1
1,N-008F,1,Dark,TNB23-1787D,0
1,N-16A,0,Dark,TNB18-0500CP,1
1,N-16A,0,Dark,TNB18-0500CP,1
1,N-16A,1,Dark,TNB18-0500CP,0
1,N-008E,4,Light,TNB19-1922AY,0
3,N-008H,0,Light,TNB23-2543E,1
3,N-008H,3,Light,TNB23-2543E,0
3,N-008A,4,Light,TNB23-2681D,0
3,N-006A,2,Dark,TNB23-2553F,0
1,N-16A,1,Dark,TNB23-1788E,0
3,N-008A,0,Dark,TNB17-1003B,1
3,N-008G,2,Dark,TNB23-1002E,0
1,N-008L,3,Dark,TNB23-2969B,0
1,N-002B,0,Light,TNB18-3168A,1
3,N-006A,1,Light,TNC23-3083B,0
3,N-002B,3,Light,TNB23-3131A,0
3,N-006A,0,Light,TNC23-1972A,1
1,N-008A,0,Dark,TNB23-1788A,1
1,N-008A,0,Dark,TNB23-1788A,1
1,N-008E,3,Light,TNB22-0926I,0
3,N-002A,0,Dark,N9640J,1
3,N-006A,2,Light,TNC23-3220C,0
3,N-008A,0,Dark,TNR23-3048B,1
3,N-008A,0,Dark,TNR23-3048B,1
1,N-008H,4,Dark,TNB23-2243D,0
1,N-008C,0,Dark,TNB23-2243F,1
1,N-008C,0,Dark,TNB23-2243F,1
3,N-008B,2,Light,TNB23-1870D,0
1,N-008E,0,Light,TNB23-2958C,1
1,N-008E,2,Light,TNB23-2958C,0
1,N-008F,1,Dark,TNB23-1787D,0
3,N-006A,1,Light,TNB23-0478H,0
3,N-008D,1,Light,TNC23-3136C,0
3,N-008G,2,Dark,TNB23-0612C,0
3,N-006A,3,Light,TNC23-3115D,0
3,N-008H,2,Dark,TNC23-3129A,0
1,N-008G,0,Dark,TNB20-0600AFT,1
3,N-008A,1,Dark,TNB23-1596A,0
3,N-002A,0,Dark,TNB21-1146A,1
3,N-008H,0,Dark,TNB23-3127A,1
3,N-008B,0,Dark,TNB21-1146A,1
2,N-008D,0,Dark,TNB22-0500TQ,1
3,N-008K,1,Dark,TNB23-0298AR,0
1,N-008H,2,Dark,TNB22-0567H,0
1,N-008E,1,Medium,TNB23-3141A,0
2,N-006A,0,Light,TNB21-1920M,1
1,N-008D,2,Light,TNB23-2787F,0
1,N-008D,4,Dark,TNB23-3198B,0
3,N-002A,1,Dark,TNB23-3128B,0
3,N-006A,3,Light,TNB23-2544G,0
1,N-002B,4,Dark,TNB23-3288A,0
1,N-002B,1,Dark,TNB23-3288A,0
3,N-002A,3,Dark,TNB22-1044D,0
3,N-002A,1,Dark,TNB22-1044D,0
1,N-008A,1,Light,TNR23-3232D,0
1,N-008A,0,Light,TNR23-3232D,1
1,N-008A,8,Light,TNR23-3232D,0
3,N-008G,1,Dark,TNB19-3988HV,0
3,N-002A,1,Light,TNB19-2142AR,0
1,N-008B,0,Light,TNB23-2970F,1
1,N-008B,6,Light,TNB23-2970F,0
3,N-008D,1,Light,TNB19-3195N,0
1,N-006A,0,Dark,TNB23-0651CM,1
1,N-006A,1,Dark,TNB23-0651CM,0
1,N-006A,0,Dark,TNB23-0651CM,1
1,N-002A,0,Light,TNB19-3423BA,1
6,N-008D,0,Dark,TPL18-1041Z,1
6,N-008D,0,Dark,TPL18-1041Z,1
3,N-008G,0,Dark,TNB18-2841A,1
3,N-008G,0,Dark,TNB18-2841A,1
3,N-008G,1,Dark,TNB18-2841A,0
3,N-008H,1,Dark,N7982A,0
1,N-008F,0,Dark,TNB23-1787D,1
1,N-006A,2,Light,TNB22-1379B,0
3,N-008B,3,Light,TNB23-2774A,0
3,N-008C,2,Dark,TNB23-2200F,0
1,N-006A,4,Light,TNB23-2968G,0
3,N-008K,0,Dark,TNB23-0399C,1
1,N-008D,0,Dark,TNB23-1788E,1
3,N-002A,0,Dark,TNB19-3251BA,1
3,N-002A,1,Dark,TNB19-3251BA,0
2,N-002A,0,Dark,TNB19-3251BA,1
1,N-008D,0,Dark,TNB23-1788A,1
3,N-008B,0,Light,TNB20-1444BA,1
3,N-008C,0,Dark,TNB23-2201B,1
